,ID,Income,Term,Balance,Debt,Score,Default
58,669,28300,Short Term,1070,1010,507.0,False
59,316,15300,Short Term,1200,0,273.0,False
60,624,18400,Short Term,1070,535,216.0,False
61,643,21300,Short Term,680,364,,False
62,703,16600,Short Term,1180,539,245.0,False
63,653,17600,Long Term,900,518,221.0,False
64,864,21400,Long Term,820,234,369.0,False
65,163,21400,Short Term,870,271,310.0,False
66,472,19800,Short Term,1260,0,229.0,False
67,900,18700,Short Term,390,0,349.0,False
68,749,23300,Short Term,1290,0,218.0,False
69,155,22600,Short Term,1140,979,258.0,True
70,355,18800,Short Term,1090,0,301.0,False
71,767,20600,Short Term,630,758,265.0,False
72,805,25800,Long Term,510,0,337.0,False
73,493,16100,Short Term,900,0,294.0,False
74,577,21500,Long Term,930,0,364.0,False
75,196,23900,Short Term,620,0,225.0,False
76,213,24200,Short Term,1160,0,341.0,False
77,221,22100,Short Term,1630,0,582.0,False
78,456,20400,Short Term,1090,0,406.0,False
79,127,22100,Short Term,950,416,353.0,False
80,330,23500,Short Term,650,0,348.0,False
81,546,17900,Long Term,970,845,108.0,False
82,446,18200,Long Term,1170,499,287.0,False
83,194,21900,Short Term,1160,0,155.0,False
84,808,21800,Short Term,1640,1055,272.0,True
85,361,24400,Short Term,750,2573,71.0,True
86,83,18400,Short Term,510,0,,False
87,979,19800,Short Term,830,1172,215.0,False
88,41,22300,Short Term,1210,0,424.0,False
89,995,24000,Short Term,990,0,541.0,False
90,144,17600,Long Term,1010,556,350.0,False
91,820,19800,Short Term,1370,694,363.0,False
92,177,15000,Short Term,1040,417,83.0,False
93,340,18900,Short Term,1170,706,153.0,False
94,709,26600,Short Term,980,0,308.0,False
95,250,19400,Short Term,1080,0,436.0,False
96,964,19000,Short Term,1550,366,228.0,False
97,515,22900,Long Term,1380,0,174.0,False
98,26,21400,Short Term,1050,0,453.0,False
99,587,18000,Short Term,910,261,362.0,False
100,133,19200,Short Term,1010,0,242.0,False
101,103,19500,Short Term,630,416,280.0,False
102,478,20400,Short Term,880,256,224.0,False
103,835,20800,Short Term,1220,0,347.0,False
104,633,18100,Short Term,850,0,274.0,False
105,769,22100,Short Term,910,0,531.0,False
106,399,21700,Short Term,910,171,425.0,False
107,555,24300,Short Term,850,0,254.0,False
108,580,21900,Short Term,990,0,429.0,False
109,137,22200,Long Term,1300,0,285.0,False
110,118,20400,Long Term,1230,1352,237.0,False
111,397,17300,Short Term,1190,0,324.0,False
112,332,22700,Short Term,1070,0,415.0,False
113,165,22600,Long Term,1470,0,433.0,False
114,741,20000,Short Term,690,1378,141.0,False
115,307,16900,Short Term,900,1170,116.0,False
116,380,21700,Short Term,1030,0,608.0,False
117,713,20200,Short Term,1230,0,309.0,False
118,978,24800,Short Term,760,0,554.0,False
119,944,22300,Short Term,700,1388,198.0,False
120,349,18500,Short Term,990,65,381.0,False
121,240,25200,Short Term,1300,804,583.0,False
122,287,19200,Long Term,1410,0,134.0,False
123,54,18400,Short Term,1210,0,403.0,False
124,711,24600,Short Term,1200,0,385.0,True
125,3,20500,Short Term,1210,1471,193.0,True
126,64,22900,Long Term,910,284,256.0,False
127,630,22500,Short Term,830,1027,145.0,False
128,926,23000,Long Term,1010,930,325.0,False
129,335,16900,Short Term,1310,162,166.0,False
130,889,15800,Short Term,1440,228,198.0,False
131,375,19300,Short Term,970,455,357.0,False
132,980,17900,Short Term,950,0,86.0,False
133,438,15900,Short Term,1010,0,344.0,False
134,297,17700,Short Term,1940,0,309.0,False
135,350,15100,Long Term,1340,0,215.0,False
136,597,20500,Short Term,1120,0,427.0,False
137,804,17900,Short Term,1000,0,130.0,False
138,480,21600,Long Term,730,1119,184.0,False
139,170,21700,Short Term,1000,270,330.0,False
140,800,19000,Long Term,140,1185,125.0,False
141,500,23100,Short Term,1200,0,333.0,False
142,91,23200,Short Term,1310,2003,264.0,True
143,550,19200,Short Term,640,322,130.0,False
144,707,19800,Short Term,1140,0,193.0,False
145,251,20700,Short Term,950,1089,310.0,False
146,419,21600,Short Term,770,330,290.0,False
147,600,19900,Long Term,740,0,403.0,False
148,162,19600,Long Term,1300,0,338.0,False
149,885,17500,Short Term,1040,1695,89.0,True
150,61,17900,Short Term,1050,260,163.0,False
151,723,20200,Short Term,1210,318,317.0,False
152,299,22200,Short Term,1130,990,141.0,False
153,843,18300,Short Term,1240,0,260.0,True
154,699,17600,Short Term,1260,1910,44.0,True
155,286,20600,Short Term,690,0,174.0,False
156,246,18500,Short Term,1030,0,300.0,False
157,917,24600,Short Term,1020,0,552.0,False
158,427,21500,Short Term,590,1811,156.0,True
159,414,20700,Short Term,1070,2713,12.0,True
160,431,20400,Long Term,710,1022,246.0,False
161,484,21300,Long Term,860,1347,120.0,False
162,839,20700,Short Term,980,0,,False
163,727,14600,Short Term,860,536,204.0,False
164,132,23800,Short Term,610,0,222.0,False
165,947,19300,Long Term,1060,225,317.0,False
166,936,15200,Short Term,1020,0,288.0,False
167,256,19100,Short Term,1490,0,174.0,False
168,569,17500,Short Term,1170,971,131.0,False
169,668,18600,Short Term,890,0,291.0,True
170,851,18800,Long Term,1020,0,432.0,False
171,229,21600,Short Term,780,922,295.0,False
172,761,21700,Short Term,1080,297,473.0,False
173,313,20800,Short Term,1310,0,381.0,False
174,650,23300,Long Term,1190,628,375.0,False
175,27,15100,Short Term,980,0,279.0,False
176,374,17300,Short Term,540,2130,4.0,True
177,294,17900,Short Term,830,2272,5.0,True
178,65,25500,Long Term,690,374,415.0,False
179,996,19900,Long Term,1070,185,219.0,False
180,13,19000,Long Term,1480,560,141.0,False
181,45,16100,Long Term,940,0,353.0,False
182,691,24000,Short Term,1040,0,508.0,False
183,344,20300,Short Term,540,0,389.0,False
184,99,18200,Short Term,1370,0,390.0,False
185,822,15900,Long Term,1240,400,223.0,False
186,775,20100,Long Term,650,0,216.0,False
187,510,19500,Short Term,1440,0,452.0,False
188,765,19200,Long Term,480,0,298.0,False
189,888,20300,Short Term,1170,306,404.0,False
190,615,21400,Short Term,800,0,252.0,False
191,463,18900,Short Term,1100,565,120.0,False
192,842,20400,Short Term,1080,0,370.0,False
193,46,20900,Short Term,1210,1582,270.0,True
194,116,18500,Short Term,890,0,143.0,False
195,141,19000,Short Term,830,684,198.0,False
196,758,25200,Short Term,690,0,481.0,False
197,626,16300,Short Term,1090,0,323.0,False
198,369,19400,Short Term,790,822,193.0,False
199,172,20800,Short Term,1070,730,255.0,False
200,447,16200,Short Term,830,0,240.0,False
201,725,16900,Short Term,1030,1045,218.0,False
202,881,17200,Short Term,570,0,114.0,False
203,193,18000,Short Term,900,135,259.0,False
204,681,17000,Long Term,980,906,108.0,False
205,455,19600,Short Term,1110,2408,51.0,True
206,998,24100,Long Term,740,629,290.0,False
207,672,21600,Short Term,1350,1422,196.0,False
208,679,19500,Short Term,1000,0,448.0,False
209,963,19300,Long Term,600,96,388.0,False
210,217,18000,Short Term,990,502,252.0,False
211,152,22000,Short Term,1430,0,301.0,False
212,766,22400,Short Term,890,1044,242.0,False
213,647,22600,Short Term,1030,0,498.0,False
214,801,15700,Short Term,1180,1347,85.0,True
215,356,22700,Short Term,840,384,293.0,False
216,11,18100,Short Term,620,1236,118.0,False
217,232,22800,Long Term,870,0,306.0,False
218,377,20300,Long Term,1090,701,321.0,False
219,15,20200,Short Term,650,1378,220.0,False
220,311,20200,Short Term,990,0,349.0,False
221,477,21500,Short Term,1300,1858,,True
222,661,17700,Long Term,930,920,142.0,False
223,937,19700,Short Term,1080,21,445.0,False
224,865,21400,Long Term,660,716,24.0,False
225,933,18400,Short Term,1160,0,377.0,False
226,279,19000,Short Term,640,153,125.0,False
227,667,19100,Short Term,840,728,235.0,False
228,581,21100,Short Term,870,513,259.0,False
229,212,17900,Short Term,580,0,151.0,False
230,184,21500,Long Term,720,0,212.0,False
231,579,18900,Short Term,920,0,171.0,True
232,140,21900,Short Term,1050,1322,223.0,False
233,200,21600,Short Term,820,98,281.0,False
234,506,23000,Short Term,830,244,242.0,False
235,786,19900,Long Term,1560,0,273.0,True
236,175,20600,Short Term,1160,0,458.0,False
237,884,21800,Short Term,1010,0,537.0,False
238,315,20600,Short Term,930,0,482.0,True
239,489,20600,Short Term,1250,0,374.0,False
240,274,16000,Short Term,820,932,119.0,False
241,244,17900,Short Term,1190,203,387.0,False
242,444,21500,Short Term,810,1752,138.0,True
243,308,21400,Long Term,750,644,448.0,False
244,53,17300,Short Term,930,0,228.0,False
245,999,18600,Short Term,1240,508,271.0,False
246,823,17300,Short Term,950,366,277.0,False
247,514,18800,Short Term,700,0,288.0,False
248,259,17400,Long Term,840,0,298.0,False
249,830,16500,Long Term,610,751,192.0,False
250,443,15100,Long Term,1010,1085,149.0,True
251,675,19500,Short Term,830,36,361.0,False
252,909,23800,Long Term,1130,0,581.0,False
253,945,16300,Short Term,1090,1147,120.0,False
254,32,24700,Short Term,1470,0,299.0,False
255,153,22900,Short Term,1080,0,539.0,False
256,797,17700,Short Term,1140,229,154.0,False
257,16,17200,Short Term,1100,0,149.0,False
258,832,21800,Short Term,1110,0,437.0,False
259,848,22400,Short Term,730,0,439.0,False
260,809,20600,Short Term,470,0,146.0,False
261,957,18100,Short Term,1020,782,230.0,False
262,329,22300,Short Term,1220,155,361.0,False
263,425,18700,Short Term,1000,553,242.0,False
264,687,19600,Short Term,1130,1447,192.0,True
265,810,20700,Short Term,1130,0,287.0,False
266,814,20800,Long Term,660,0,367.0,False
267,588,20800,Short Term,930,617,376.0,False
268,880,22000,Short Term,1170,0,398.0,False
269,613,19800,Short Term,1080,15,297.0,False
270,821,19300,Short Term,910,0,219.0,False
271,639,19500,Short Term,1200,0,343.0,False
272,519,17300,Long Term,1470,0,310.0,False
273,787,20700,Long Term,1440,1144,214.0,False
274,457,22900,Long Term,980,0,468.0,False
275,43,20500,Long Term,1300,0,250.0,False
276,243,19800,Short Term,1420,1254,217.0,False
277,693,24800,Long Term,1170,547,0.0,True
278,107,20600,Short Term,750,0,255.0,False
279,192,20000,Long Term,860,776,332.0,False
280,706,21700,Short Term,1110,109,333.0,False
281,920,19400,Short Term,770,0,313.0,False
282,197,18000,Short Term,1130,0,320.0,False
283,833,19500,Short Term,1360,367,233.0,False
284,146,17000,Long Term,670,308,161.0,False
285,348,18700,Short Term,990,159,182.0,False
286,389,21300,Short Term,630,988,290.0,False
287,806,21000,Short Term,990,0,488.0,False
288,620,21000,Short Term,920,2048,132.0,True
289,528,24700,Short Term,840,0,281.0,False
290,752,19900,Short Term,1080,0,255.0,False
291,55,22200,Long Term,1080,0,466.0,False
292,367,21500,Short Term,1240,0,338.0,False
293,617,17000,Short Term,970,759,228.0,False
294,940,19200,Short Term,1010,1276,160.0,False
295,501,20000,Short Term,1270,0,309.0,False
296,721,22900,Short Term,810,839,222.0,False
297,751,20500,Short Term,1380,1361,86.0,False
298,989,18500,Long Term,1040,0,246.0,False
299,656,18100,Long Term,1180,0,407.0,True
300,410,21400,Short Term,1120,0,380.0,False
301,927,20100,Short Term,1220,832,223.0,False
302,168,20400,Short Term,1000,0,279.0,False
303,48,24300,Short Term,1080,372,279.0,False
304,906,22300,Short Term,1120,0,243.0,False
305,166,23100,Short Term,620,0,427.0,False
306,730,19600,Short Term,1050,559,270.0,False
307,74,20900,Short Term,660,778,259.0,False
308,303,21500,Short Term,1210,0,439.0,False
309,164,18300,Short Term,1000,0,398.0,False
310,205,17100,Long Term,1240,467,226.0,False
311,258,16500,Short Term,530,0,273.0,False
312,593,19900,Long Term,920,0,398.0,False
313,732,19100,Long Term,850,203,220.0,False
314,676,18300,Short Term,530,0,295.0,False
315,239,17600,Short Term,710,155,108.0,False
316,295,16600,Short Term,1130,0,316.0,False
317,347,19900,Long Term,1380,0,472.0,False
318,187,23300,Long Term,1070,523,437.0,False
319,508,18200,Short Term,1500,0,316.0,False
320,62,22800,Short Term,850,0,468.0,False
321,649,22800,Long Term,1640,0,432.0,False
322,573,18900,Short Term,830,1520,84.0,True
323,858,16700,Short Term,610,0,201.0,False
324,420,23300,Short Term,790,1021,266.0,False
325,870,22500,Short Term,900,769,278.0,False
326,648,23100,Short Term,760,431,307.0,False
327,872,18100,Long Term,1300,588,231.0,False
328,625,19500,Short Term,1390,0,414.0,False
329,827,20600,Short Term,540,725,303.0,False
330,343,22200,Short Term,640,0,513.0,False
331,728,22100,Short Term,1080,96,379.0,False
332,50,20600,Short Term,1230,732,212.0,False
333,434,22400,Short Term,1200,0,277.0,False
334,701,18600,Short Term,770,0,272.0,False
335,836,17100,Short Term,1170,415,191.0,False
336,819,21100,Short Term,1000,157,443.0,False
337,225,17400,Short Term,790,304,319.0,False
338,539,21600,Long Term,1180,738,,False
339,934,17400,Short Term,1130,1451,56.0,True
340,754,23300,Long Term,1270,759,399.0,False
341,97,18000,Long Term,620,0,271.0,False
342,124,19700,Short Term,620,0,321.0,False
343,844,21600,Short Term,940,0,546.0,True
344,646,18200,Long Term,940,0,292.0,False
345,697,24700,Short Term,1120,656,366.0,False
346,265,21900,Short Term,750,0,335.0,False
347,394,21900,Short Term,1080,0,483.0,False
348,975,21200,Short Term,640,1060,275.0,True
349,604,17300,Long Term,920,1410,87.0,True
350,318,16300,Short Term,570,0,357.0,False
351,976,17800,Long Term,1210,0,206.0,False
352,110,23600,Short Term,1130,1660,164.0,False
353,726,20900,Short Term,1130,0,407.0,False
354,353,18900,Short Term,1200,0,301.0,False
355,918,19200,Short Term,760,826,180.0,False
356,384,18500,Short Term,940,1064,129.0,False
357,714,20000,Short Term,1050,0,,False
358,757,16400,Short Term,1030,916,78.0,False
359,651,21200,Short Term,920,458,268.0,False
360,574,19400,Short Term,1520,0,414.0,False
361,364,20800,Short Term,1030,115,,False
362,607,25300,Short Term,1060,0,235.0,False
363,576,21300,Short Term,540,0,443.0,False
364,331,24400,Short Term,900,0,458.0,False
365,982,17200,Short Term,750,0,202.0,False
366,877,20900,Short Term,1050,0,341.0,False
367,993,17000,Short Term,760,1105,129.0,False
368,974,20600,Long Term,750,0,434.0,False
369,450,19400,Short Term,870,1093,104.0,False
370,60,20000,Short Term,1230,518,131.0,False
371,139,20100,Short Term,1360,1250,140.0,False
372,690,14300,Short Term,1190,87,63.0,False
373,33,16700,Short Term,860,186,423.0,False
374,189,23000,Short Term,890,1659,199.0,True
375,850,20800,Short Term,1220,0,372.0,False
376,644,20400,Long Term,1220,0,538.0,False
377,715,19300,Short Term,1260,686,240.0,False
378,540,20400,Short Term,1010,1184,286.0,False
379,507,19500,Short Term,1290,0,201.0,False
380,368,17400,Short Term,1090,957,167.0,False
381,674,18100,Short Term,1070,0,214.0,False
382,663,19200,Short Term,1110,716,234.0,False
383,224,21800,Short Term,730,345,,False
384,811,19300,Short Term,990,456,378.0,False
385,591,19300,Short Term,630,847,115.0,False
386,795,19100,Short Term,1290,0,162.0,False
387,69,14600,Short Term,1470,1345,97.0,True
388,429,17300,Short Term,1080,0,,False
389,824,21700,Long Term,900,0,180.0,False
390,992,17500,Short Term,640,418,303.0,True
391,119,22300,Short Term,880,0,376.0,False
392,257,22800,Short Term,830,0,411.0,False
393,883,18900,Long Term,1120,790,218.0,False
394,228,22400,Short Term,720,524,320.0,False
395,285,22800,Short Term,1640,1944,121.0,True
396,966,17900,Long Term,1190,0,291.0,False
397,660,20600,Short Term,550,0,344.0,False
398,860,23800,Short Term,1050,1057,107.0,True
399,781,18200,Short Term,880,0,134.0,False
400,912,20400,Long Term,1160,0,272.0,True
401,437,20800,Long Term,1010,594,350.0,False
402,724,24200,Long Term,1130,1571,220.0,False
403,406,24600,Short Term,1300,0,303.0,False
404,234,20800,Short Term,780,1,243.0,False
405,924,18800,Short Term,930,0,238.0,False
406,109,21900,Long Term,1360,0,490.0,False
407,628,20500,Short Term,940,0,340.0,False
408,304,21600,Short Term,900,147,323.0,False
409,403,25700,Long Term,1110,964,330.0,False
410,190,17700,Long Term,1180,0,351.0,False
411,504,19100,Short Term,1480,532,259.0,False
412,476,22900,Short Term,1290,789,305.0,False
413,896,20700,Short Term,860,461,237.0,False
414,610,22900,Short Term,1410,0,485.0,False
415,202,20400,Long Term,1230,308,238.0,False
416,930,17700,Short Term,710,0,187.0,False
417,882,17200,Short Term,1160,0,274.0,False
418,747,20200,Short Term,1430,18,321.0,False
419,346,13800,Short Term,1040,0,180.0,False
420,1,22900,Short Term,1280,0,450.0,False
421,764,17300,Short Term,720,0,193.0,False
422,612,25000,Short Term,1100,1570,201.0,False
423,376,21900,Short Term,790,0,476.0,False
424,894,21000,Short Term,530,0,384.0,True
425,105,19600,Short Term,640,0,295.0,False
426,645,19300,Short Term,1420,0,312.0,False
427,520,22200,Short Term,940,53,502.0,False
428,956,16700,Short Term,1230,0,207.0,False
429,994,21300,Long Term,1020,2156,83.0,True
430,261,23400,Long Term,980,1455,249.0,False
431,666,20800,Short Term,960,0,261.0,False
432,405,20000,Short Term,740,0,244.0,False
433,486,20000,Short Term,910,1221,265.0,False
434,557,22700,Long Term,1130,0,279.0,False
435,642,20400,Short Term,950,0,268.0,False
436,98,23800,Short Term,1610,0,241.0,False
437,392,19300,Short Term,1270,1210,240.0,False
438,759,20900,Short Term,950,0,230.0,False
439,731,17000,Short Term,1060,696,125.0,False
440,81,19100,Short Term,1410,0,348.0,False
441,534,23000,Short Term,1110,0,478.0,False
442,475,21500,Short Term,1080,0,296.0,False
443,913,21100,Long Term,610,0,196.0,True
444,631,13700,Short Term,1130,381,179.0,False
445,665,15100,Short Term,390,617,152.0,False
446,879,18900,Long Term,870,0,253.0,False
447,988,19700,Short Term,890,0,342.0,False
448,2,20400,Short Term,970,905,183.0,False
449,473,21000,Short Term,1140,1781,169.0,True
450,527,17400,Short Term,1040,853,127.0,False
451,93,17600,Long Term,850,1780,44.0,True
452,337,23400,Short Term,1270,70,271.0,False
453,973,20700,Short Term,1650,0,533.0,False
454,106,20600,Long Term,880,1556,175.0,True
455,474,18300,Short Term,830,0,285.0,False
456,352,20700,Long Term,780,0,431.0,False
457,694,18600,Short Term,890,1096,132.0,False
458,916,21400,Short Term,1150,0,162.0,False
459,366,21700,Short Term,800,0,324.0,False
460,866,19400,Short Term,910,0,307.0,False
461,262,16700,Short Term,690,0,122.0,False
462,856,20800,Short Term,1150,0,345.0,False
463,494,23400,Short Term,1050,0,115.0,True
464,737,21700,Short Term,620,965,186.0,False
465,479,21000,Long Term,1310,0,462.0,False
466,426,14400,Short Term,1150,279,309.0,False
467,941,19900,Short Term,1100,0,236.0,False
468,892,20300,Short Term,940,0,133.0,False
469,108,22000,Short Term,930,0,248.0,False
470,914,18600,Short Term,1280,0,394.0,False
471,654,21000,Short Term,1450,780,161.0,False
472,720,19000,Long Term,680,0,282.0,False
473,338,23600,Short Term,1390,1652,174.0,False
474,211,19900,Short Term,490,332,378.0,False
475,351,18900,Short Term,830,0,161.0,False
476,84,17300,Short Term,1090,271,302.0,False
477,481,21600,Short Term,870,0,368.0,False
478,112,22900,Long Term,1190,14,267.0,False
479,319,22200,Short Term,1460,0,156.0,False
480,17,21900,Short Term,1090,982,283.0,False
481,408,18000,Short Term,1400,78,159.0,False
482,468,21500,Short Term,640,3470,0.0,True
483,218,24300,Long Term,1280,0,,False
484,126,20500,Short Term,1230,493,349.0,False
485,77,20600,Short Term,830,0,273.0,False
486,423,18700,Short Term,1190,0,474.0,False
487,700,17300,Short Term,1020,0,401.0,False
488,35,23900,Short Term,860,168,409.0,False
489,901,18700,Short Term,910,496,201.0,False
490,252,17000,Short Term,360,1537,49.0,True
491,678,21200,Short Term,360,575,250.0,False
492,495,20200,Short Term,1130,1434,71.0,True
493,817,19900,Short Term,1110,2193,75.0,True
494,895,24000,Short Term,720,223,459.0,False
495,863,21900,Long Term,1330,1515,72.0,False
496,897,19200,Short Term,710,0,204.0,False
497,867,20100,Short Term,1050,0,353.0,False
498,874,16100,Long Term,1070,76,218.0,False
499,467,21300,Short Term,1070,0,191.0,False
500,689,45000,Long Term,1450,0,1000.0,False
501,619,44800,Long Term,910,929,764.0,False
502,89,47900,Long Term,1040,218,829.0,False
503,185,35500,Long Term,1240,0,818.0,False
504,203,40300,Short Term,1380,1753,595.0,False
505,129,44400,Short Term,1270,738,1000.0,False
506,490,42300,Short Term,500,2784,400.0,False
507,592,41900,Short Term,720,1225,834.0,False
508,215,37900,Short Term,1530,0,595.0,False
509,522,44200,Short Term,1190,65,838.0,True
510,869,45500,Long Term,890,0,766.0,False
511,745,43200,Long Term,1250,1352,524.0,False
512,47,40400,Short Term,1040,436,727.0,False
513,10,41800,Short Term,1390,4296,157.0,True
514,388,29400,Short Term,1460,0,603.0,False
515,171,32800,Short Term,1160,0,885.0,False
516,582,51000,Short Term,1210,0,858.0,False
517,743,34900,Short Term,1120,1557,524.0,False
518,362,33800,Long Term,1140,22,437.0,False
519,248,38300,Long Term,1410,0,879.0,False
520,161,43500,Short Term,1330,1440,398.0,False
521,828,35700,Long Term,1570,0,609.0,True
522,266,36200,Short Term,1650,685,528.0,False
523,499,44100,Long Term,1490,0,883.0,False
524,638,44000,Long Term,1320,632,556.0,False
525,206,39100,Long Term,1410,0,734.0,False
526,430,38700,Long Term,1420,551,636.0,True
527,156,33800,Long Term,1590,0,672.0,False
528,696,40000,Short Term,1570,923,736.0,False
529,275,37900,Short Term,1810,0,573.0,False
530,554,36700,Long Term,1700,2882,352.0,True
531,138,37800,Long Term,1070,0,741.0,False
532,771,35500,Long Term,1820,0,698.0,False
533,68,45700,Short Term,1110,0,886.0,False
534,902,32800,Long Term,780,0,378.0,False
535,748,44300,Long Term,1300,0,,False
536,887,37400,Long Term,530,0,524.0,False
537,641,48400,Short Term,1620,579,732.0,False
538,558,33000,Short Term,1710,0,648.0,False
539,34,33700,Short Term,1240,980,758.0,False
540,548,35000,Short Term,1720,0,482.0,False
541,513,32800,Long Term,970,0,460.0,False
542,415,50700,Long Term,1790,1499,1000.0,False
543,776,43600,Short Term,760,983,812.0,False
544,722,39600,Short Term,910,1052,525.0,False
545,409,42600,Short Term,1210,0,788.0,False
546,482,39200,Long Term,1270,0,897.0,False
547,387,38000,Short Term,1480,0,850.0,False
548,20,32200,Long Term,1090,0,754.0,False
549,113,33900,Short Term,1010,1404,456.0,False
550,207,34800,Long Term,1300,1209,560.0,False
551,959,35200,Short Term,1560,1165,476.0,False
552,923,36500,Short Term,1700,1534,561.0,False
553,278,41600,Short Term,1400,0,618.0,False
554,632,40200,Short Term,1250,1008,158.0,False
555,12,39000,Short Term,1390,0,1000.0,False
556,128,47100,Short Term,970,1459,847.0,False
557,310,41400,Short Term,1210,0,628.0,False
558,503,42400,Long Term,1290,1459,544.0,False
559,735,37100,Long Term,1030,0,661.0,False
560,712,44900,Short Term,1190,419,761.0,False
561,903,37900,Short Term,1290,540,934.0,False
562,92,48000,Short Term,1240,0,722.0,False
563,199,44200,Short Term,920,0,,False
564,176,46600,Long Term,1300,136,847.0,False
565,553,33000,Short Term,1090,23,682.0,False
566,95,35100,Short Term,1430,449,602.0,False
567,94,34200,Short Term,1190,2759,302.0,True
568,736,44700,Long Term,1150,253,954.0,False
569,111,29500,Short Term,920,0,675.0,False
570,662,48100,Long Term,1320,0,577.0,False
571,201,38600,Long Term,1350,1010,703.0,False
572,531,45500,Long Term,1780,0,792.0,False
573,290,41700,Long Term,1100,3829,254.0,True
574,950,37900,Long Term,1350,0,904.0,False
575,436,42900,Short Term,1410,0,652.0,False
576,584,32700,Short Term,1120,0,619.0,False
577,40,37900,Short Term,1570,0,988.0,False
578,922,42100,Short Term,1290,270,731.0,False
579,785,43600,Long Term,1120,1461,1000.0,False
580,596,45300,Long Term,1430,422,646.0,False
581,22,41900,Long Term,1720,1884,372.0,False
582,977,42500,Short Term,1020,0,811.0,False
583,135,34600,Short Term,1160,0,846.0,True
584,150,43000,Short Term,1060,276,674.0,False
585,8,46500,Short Term,1140,1554,634.0,False
586,18,43400,Long Term,1740,610,742.0,False
587,323,28600,Long Term,860,0,466.0,False
588,946,38000,Short Term,1000,0,774.0,False
589,886,41400,Short Term,1140,0,,False
590,142,38100,Long Term,1230,790,560.0,True
591,191,41100,Short Term,1540,784,732.0,False
592,260,34600,Long Term,990,2218,410.0,False
593,448,45900,Long Term,1750,0,666.0,False
594,768,37600,Long Term,1150,3073,254.0,True
595,853,37200,Long Term,1780,0,780.0,False
596,862,38000,Short Term,1760,204,889.0,False
597,382,39200,Short Term,1020,29,654.0,False
598,178,43500,Short Term,1160,0,931.0,False
599,816,41300,Short Term,1720,1022,867.0,False
600,280,29000,Short Term,1450,0,497.0,False
601,117,49200,Short Term,1140,1758,392.0,False
602,454,35900,Long Term,1780,529,886.0,False
603,143,47800,Long Term,1120,0,894.0,False
604,859,34000,Short Term,1460,2317,337.0,True
605,223,44500,Short Term,740,0,972.0,False
606,571,45500,Long Term,690,0,796.0,False
607,321,42900,Short Term,1030,0,988.0,False
608,306,39700,Short Term,1410,4027,249.0,True
609,812,37100,Long Term,1210,325,550.0,False
610,182,43700,Short Term,1020,17,849.0,False
611,594,30800,Long Term,1790,0,446.0,False
612,70,46700,Long Term,890,0,580.0,False
613,30,33900,Short Term,1540,2222,503.0,False
